country,happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,internet_access_population[%],cellular_subscriptions,surplus_deficit_GDP[%],familiy_income_gini_coeff,GDP_per_capita[$],inflation_rate[%],military_expenditures[%],map_reference,biggest_official_language,population,Inequality-adjusted HDI (IHDI),Inequality in life expectancy [%],Inequality in education [%],Inequality in income [%],Quintile ratio,Palma ratio ,Gini coefficient,HDI rank,Human Development Index,Life expectancy at birth [years],Expected years of schooling [years],Mean years of schooling [years],Gross national income (GNI) per capita [$],HDI  Rank 2016
Madagascar,144,3.64400005340576,0.305808693170547,0.9130203723907470,0.375223308801651,0.18919676542282100,0.208732530474663,0.0672319754958153,1.58461260795593,4.7,35,-2.3,41.0,1600.0,8.1,0.53,Africa,French,25054161,0.385,21.3,35.0,20.4,8.7,2.1,42.6,161,0.519,66.3,10.6,6.1,1358,158
Haiti,145,3.6029999256134,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.4892037808895110,0.0998721495270729,1.69716763496399,12.2,61,-8.0,60.8,1800.0,14.7,,Central America and the Caribbean,French,10646714,0.304,28.6,38.3,48.4,8.6,2.0,41.1,168,0.498,63.6,9.3,5.3,1665,167
Yemen,146,3.59299993515015,0.5916834473609920,0.93538224697113,0.310080915689468,0.24946372210979500,0.104125209152699,0.0567674227058887,1.34560060501099,24.6,59,-6.9,37.9,1300.0,4.9,3.97,Middle East,Arabic,28036829,0.308,24.9,46.1,21.8,6.1,1.6,36.7,178,0.452,65.2,9.0,3.0,1239,172
South Sudan,147,3.5910000801086400,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,1.8795673847198500,,12,-1.3,46.0,1500.0,187.9,10.93,Africa,English,13026129,0.247,37.0,39.6,32.3,13.0,2.7,46.3,187,0.388,57.3,4.9,4.8,963,186
Liberia,148,3.532999992370610,0.119041793048382,0.8721179366111760,0.229918196797371,0.33288118243217500,0.26654988527298,0.0389482490718365,1.6732859611511200,7.3,66,-4.7,32.0,1400.0,12.4,0.62,Africa,English,4689021,0.298,27.5,42.9,22.7,5.4,1.3,33.2,181,0.435,63.0,10.0,4.7,667,180
Guinea,149,3.50699996948242,0.24454993009567300,0.7912446856498720,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,1.55231189727783,9.8,87,-3.4,39.4,2000.0,8.9,2.49,Africa,French,12413867,0.306,31.2,48.3,17.1,5.5,1.3,33.7,175,0.459,60.6,9.1,2.6,2067,177
Togo,150,3.4949998855590800,0.3054447174072270,0.4318825304508210,0.247105568647385,0.38042613863945,0.19689615070819900,0.0956650152802467,1.8372292518615700,11.3,78,-4.8,46.0,1700.0,-0.7000000000000000,1.86,Africa,French,7965055,0.344,30.5,38.9,25.1,9.7,2.2,43.1,165,0.503,60.5,12.4,4.8,1453,164
Rwanda,151,3.47099995613098,0.368745893239975,0.945707023143768,0.326424807310104,0.5818438529968260,0.2527560293674470,0.455220013856888,0.540061235427856,29.8,74,-4.3,50.4,2100.0,4.8,1.21,Africa,Kinyarwanda,11901484,0.367,23.8,29.3,36.4,11.0,3.2,50.4,158,0.524,67.5,11.2,4.1,1811,157
Syria,152,3.46199989318848,0.777153134346008,0.396102607250214,0.5005333423614500,0.0815394446253777,0.493663728237152,0.15134713053703300,1.06157350540161,31.9,87,-8.7,,2900.0,25.5,,Middle East,Arabic,18028549,,,,,,,,,,,,,,
Tanzania,153,3.34899997711182,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,0.621130466461182,13.0,74,-2.7,37.6,3200.0,5.3,1.14,Africa,Kiswahili or Swahili,53950935,,,,,,,,,,,,,,
Burundi,154,2.90499997138977,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.20443518459796900,0.0841479450464249,1.68302416801453,5.2,52,-4.2,42.4,700.0,16.6,2.21,Africa,Kirundi,11466756,0.278,38.1,39.5,20.9,6.7,1.7,38.6,185,0.417,57.9,11.7,3.0,702,183
Central African Republic,155,2.69300007820129,0.0,0.0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2.06600475311279,4.6,22,-2.0,43.6,700.0,3.8,,Africa,French,5625118,0.212,41.7,34.5,49.2,18.5,4.5,56.2,188,0.367,52.9,7.2,4.3,663,187
